Country,Country__colour,id,EuSCAPE ID or sample name,Data source,Data source__colour,Carbapenem resistance,Carbapenem resistance__colour,Host,Host__colour,Sample type,Clinical importance,Clinical importance__colour,Epidemiological context,Epidemiological context__colour,ST,ST__colour,latitude,longitude,Location accuracy,Location accuracy__colour,day,month,year,Hospital code,Best matching K-type (capsular loci),Best matching K-type (capsular loci)__colour,Presence/absence of KPC-like in silico,Presence/absence of KPC-like in silico__colour,KPC-like variant,KPC-like variant__colour,Presence/absence of OXA-48-like in silico,Presence/absence of OXA-48-like in silico__colour,OXA-48-like variant,OXA-48-like variant__colour,Colistin resistance,Colistin resistance__colour
Italy,#4D58F9,18174_6#153,EuSCAPE_IT250,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Lower Respiratory Tract Secrection,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,38.11,15.64,Address-level,#fef0d9,27,3,2014,186,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_6#155,EuSCAPE_IT252,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Lower Respiratory Tract Secrection,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,38.11,15.64,Address-level,#fef0d9,1,4,2014,186,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_6#156,EuSCAPE_IT254,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Blood,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,38.11,15.64,Address-level,#fef0d9,14,4,2014,186,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_6#158,EuSCAPE_IT256,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Urine,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,43.8067041,11.2438472,Address-level,#fef0d9,2,11,2013,11,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_6#160,EuSCAPE_IT258,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Blood,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,43.8067041,11.2438472,Address-level,#fef0d9,2,11,2013,11,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_6#17,EuSCAPE_IT108,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Other (drainage),Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,45.1193476,7.7061494,Address-level,#fef0d9,2,12,2013,12,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_6#19,EuSCAPE_IT110,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Blood,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,45.1193476,7.7061494,Address-level,#fef0d9,14,12,2013,12,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_6#2,EuSCAPE_IT090,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Other (bile),Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,41.4568925,15.5236318,Address-level,#fef0d9,8,11,2013,16,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_6#21,EuSCAPE_IT112,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Wound Secretion,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,45.1193476,7.7061494,Address-level,#fef0d9,30,12,2013,12,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_6#23,EuSCAPE_IT114,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Wound Secretion,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,45.1193476,7.7061494,Address-level,#fef0d9,31,12,2013,12,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_6#24,EuSCAPE_IT116,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Puncture Fluids,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,45.1193476,7.7061494,Address-level,#fef0d9,4,1,2014,12,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_6#26,EuSCAPE_IT118,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Blood,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,44.9151913,8.6213461,Address-level,#fef0d9,2,11,2013,17,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_6#28,EuSCAPE_IT120,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Blood,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,44.9151913,8.6213461,Address-level,#fef0d9,6,11,2013,17,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_6#30,EuSCAPE_IT122,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Blood,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,44.9151913,8.6213461,Address-level,#fef0d9,8,11,2013,17,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_6#32,EuSCAPE_IT124,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Blood,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,44.9151913,8.6213461,Address-level,#fef0d9,13,12,2013,17,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_6#34,EuSCAPE_IT126,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Urine,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,44.9151913,8.6213461,Address-level,#fef0d9,16,12,2013,17,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_6#38,EuSCAPE_IT130,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Blood,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,44.9151913,8.6213461,Address-level,#fef0d9,21,12,2013,17,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_6#4,EuSCAPE_IT092,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Blood,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,41.4568925,15.5236318,Address-level,#fef0d9,11,11,2013,16,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_6#40,EuSCAPE_IT132,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Lower Respiratory Tract Secrection,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,44.9151913,8.6213461,Address-level,#fef0d9,3,1,2014,17,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_6#42,EuSCAPE_IT134,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Puncture Fluids,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,44.9151913,8.6213461,Address-level,#fef0d9,2,1,2014,17,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_6#47,EuSCAPE_IT140,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Urine,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,45.459792,9.1968058,Address-level,#fef0d9,7,1,2014,86,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_6#58,EuSCAPE_IT152,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Lower Respiratory Tract Secrection,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,45.459792,9.1968058,Address-level,#fef0d9,14,1,2014,86,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_6#65,EuSCAPE_IT160,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Blood,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,45.5107612,12.2217166,Address-level,#fef0d9,1,12,2013,15,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_6#77,EuSCAPE_IT172,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Urine,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,45.5107612,12.2217166,Address-level,#fef0d9,21,3,2014,15,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_6#79,EuSCAPE_IT174,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Blood,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,45.5107612,12.2217166,Address-level,#fef0d9,6,1,2014,15,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_6#83,EuSCAPE_IT178,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Urine,Infection,#d95f02,Community Onset,#a6cee3,512,#1F8C7F,45.3179012,8.4144435,Address-level,#fef0d9,5,11,2013,184,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_6#85,EuSCAPE_IT180,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Lower Respiratory Tract Secrection,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,45.3179012,8.4144435,Address-level,#fef0d9,1,11,2013,184,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_6#87,EuSCAPE_IT182,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Lower Respiratory Tract Secrection,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,45.3179012,8.4144435,Address-level,#fef0d9,4,11,2013,184,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_6#89,EuSCAPE_IT184,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Lower Respiratory Tract Secrection,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,45.3179012,8.4144435,Address-level,#fef0d9,11,11,2013,184,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_6#9,EuSCAPE_IT100,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Urine,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,45.1193476,7.7061494,Address-level,#fef0d9,7,11,2013,12,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_6#93,EuSCAPE_IT188,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Other (peritoneal fluid),Infection,#d95f02,Community Onset,#a6cee3,512,#1F8C7F,45.3179012,8.4144435,Address-level,#fef0d9,22,11,2013,184,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_6#95,EuSCAPE_IT190,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Blood,Infection,#d95f02,Community Onset,#a6cee3,512,#1F8C7F,45.3179012,8.4144435,Address-level,#fef0d9,4,12,2013,184,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_6#98,EuSCAPE_IT194,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Lower Respiratory Tract Secrection,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,45.3179012,8.4144435,Address-level,#fef0d9,29,1,2014,184,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_7#10,EuSCAPE_IT274,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Urine,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,43.8067041,11.2438472,Address-level,#fef0d9,11,11,2013,11,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_7#101,EuSCAPE_IT370,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Urine,Infection,#d95f02,Community Onset,#a6cee3,512,#1F8C7F,43.3431864,11.3273098,Address-level,#fef0d9,8,11,2013,190,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_7#114,EuSCAPE_IT382,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Urine,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,43.3431864,11.3273098,Address-level,#fef0d9,12,12,2013,190,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_7#116,EuSCAPE_IT384,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Lower Respiratory Tract Secrection,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,43.3431864,11.3273098,Address-level,#fef0d9,18,12,2013,190,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_7#118,EuSCAPE_IT386,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Urine,Colonization,#1b9e77,Hospital Acquisition,#1f78b4,512,#1F8C7F,43.3431864,11.3273098,Address-level,#fef0d9,30,12,2013,190,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_7#120,EuSCAPE_IT388,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Urine,Infection,#d95f02,Community Onset,#a6cee3,512,#1F8C7F,43.3431864,11.3273098,Address-level,#fef0d9,30,12,2013,190,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_7#126,EuSCAPE_IT394,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Wound Secretion,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,45.6982642,9.6772698,Address-level,#fef0d9,3,11,2013,3,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_7#136,EuSCAPE_IT404,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Blood,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,45.6982642,9.6772698,Address-level,#fef0d9,17,2,2014,3,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_7#14,EuSCAPE_IT278,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Other (membrane bone implants),Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,40.86466,14.2214853,Address-level,#fef0d9,26,2,2014,19,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_7#21,EuSCAPE_IT284,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Other (tube),Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,40.86466,14.2214853,Address-level,#fef0d9,14,4,2014,19,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_7#23,EuSCAPE_IT286,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Other (liquid abdomen),Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,40.86466,14.2214853,Address-level,#fef0d9,15,4,2014,19,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_7#25,EuSCAPE_IT288,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Wound Secretion,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,40.86466,14.2214853,Address-level,#fef0d9,24,4,2014,19,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_7#3,EuSCAPE_IT262,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Urine,Infection,#d95f02,Community Onset,#a6cee3,512,#1F8C7F,43.8067041,11.2438472,Address-level,#fef0d9,4,11,2013,11,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_7#31,EuSCAPE_IT294,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Wound Secretion,Colonization,#1b9e77,Hospital Acquisition,#1f78b4,512,#1F8C7F,45.6608377,12.2575923,Address-level,#fef0d9,30,12,2013,182,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_7#36,EuSCAPE_IT300,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Urine,Colonization,#1b9e77,Hospital Acquisition,#1f78b4,512,#1F8C7F,45.6608377,12.2575923,Address-level,#fef0d9,13,11,2013,182,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_7#42,EuSCAPE_IT308,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Blood,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,45.6608377,12.2575923,Address-level,#fef0d9,6,3,2014,182,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_7#49,EuSCAPE_IT316,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Blood,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,46.0630439,13.2328871,Address-level,#fef0d9,19,11,2013,20,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_7#5,EuSCAPE_IT264,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Urine,Infection,#d95f02,Community Onset,#a6cee3,512,#1F8C7F,43.8067041,11.2438472,Address-level,#fef0d9,16,11,2013,11,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_7#51,EuSCAPE_IT318,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Other (biopsymaterial),Colonization,#1b9e77,Hospital Acquisition,#1f78b4,512,#1F8C7F,46.0630439,13.2328871,Address-level,#fef0d9,4,12,2013,20,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_7#53,EuSCAPE_IT322,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Blood,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,46.0630439,13.2328871,Address-level,#fef0d9,5,2,2014,20,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_7#55,EuSCAPE_IT324,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Blood,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,46.0630439,13.2328871,Address-level,#fef0d9,6,2,2014,20,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_7#57,EuSCAPE_IT326,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Blood,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,46.0630439,13.2328871,Address-level,#fef0d9,14,2,2014,20,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Sensitive,#76F013
Italy,#4D58F9,18174_7#59,EuSCAPE_IT328,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Lower Respiratory Tract Secrection,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,46.0630439,13.2328871,Address-level,#fef0d9,17,4,2014,20,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_7#6,EuSCAPE_IT266,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Urine,Infection,#d95f02,Hospital Acquisition,#1f78b4,512,#1F8C7F,43.8067041,11.2438472,Address-level,#fef0d9,18,11,2013,11,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
Italy,#4D58F9,18174_7#61,EuSCAPE_IT330,EuSCAPE,#66c2a5,Suspected non-susceptible to carbapenems (EuSCAPE),#ED462F,Human,#2c7fb8,Other (fistula swab),Unknown,#A4A4A4,Hospital Acquisition,#1f78b4,512,#1F8C7F,41.87,12.48,Address-level,#fef0d9,4,11,2013,21,KL107,#e31a1c,Present,#ED462F,KPC-like KPC-3,#7570b3,Absent,#76F013,Not applicable,#4d4d4d,Resistant,#ED462F
